Kood;Vanem;Tegevusala tekst;SIIA KUULUB;SIIA KUULUB VEEL;SIIA EI KUULU;ERIALALIIDUD;ON ERINÕUDEID?
A;;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;"Siia jakku kuulub taimsete ja loomsete loodusvarade kasutamine. Siia kuulub taimekasvatus, loomade kasvatamine ja aretamine, puidu ja taimede kogumine ning loomsete toodete tootmine põllumajandusettevõttes või looduslikes elupaikades.
Siia jakku kuulub ka mahepõllumajandus, vesiviljelus, geneetiliselt muundatud põllukultuuride ning geneetiliselt muundatud loomade kasvatamine";;kodumajapidamiste oma tarbeks mõeldud eristamata kaupade tootmine, mis liigitatakse klassi 9810.;"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Kaupmeeste Liit
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti";EI
01;A;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;"Siia ossa kuulub kaks tegevust: taimede ja loomade kasvatamine.
Grupis 015 „Segapõllumajandus“ ei järgita tavapäraseid põhitegevuse kindlaksmääramise põhimõtteid. Arvestatakse sellega, et paljudes põllumajandusüksustes on taime- ja loomakasvatus enam-vähem tasakaalus ning et nende liigitamine ühte või teise kategooriasse oleks meelevaldne.
Siia ossa kuulub ka taimede kasvatamine ilma mullata, nt hüdropoonika ja akvapoonika meetodeid kasutades.
RAKENDAMISE REEGEL:
Põllumajanduses on lisandväärtuse jaotamine sageli keeruline näiteks juhul, kui üksus kasvatab viinamarju ja toodab omakasvatatud viinamarjadest veini või kasvatab oliive ja toodab omakasvatatud oliividest õli. Sellistel juhtudel on sobivaim vahendusmuutuja töötatud tundide arv. Kasutades seda muutujat niisuguste vertikaalselt integreeritud tegevuste korral, liigitatakse üksused üldiselt põllumajanduse alla. Muude põllumajandustoodete puhul liigitatakse üksused samasuguses olukorras kokkuleppeliselt põllumajanduse alla, et tagada ühtlustatud käsitlus.
Siia ossa kuuluvad ka põllumajandusega ja jahindusega seotud tegevused ja teenused";"Osa 01 hõlmab lisaks kasvuhoonetele ka katmikalasid.
Põllumajandusliku üksuse suurus ei ole määrav tegur. Kui taimekasvatuse või loomakasvatuse toodang moodustab standardsest brutomarginaalist 66% või enam, siis kuulub üksus taime- või loomakasvatuse alla.";"Põllumajanduslike tegevuste hulka ei kuulu põllumajandustoodete edasine töötlemine (liigitatud osadesse 10, 11 ja 12), v.a see, mida on vaja nende esmaseks turustamiseks. Toodete ettevalmistamine esmaseks turustamiseks kuulub siia ossa.
põldude rajamine (nt põllumajandusmaadele terrasside rajamine, kuivendamine, riisipõldude ettevalmistamine), mis liigitatakse jakku F, ning põllumajandussaaduste turustamisega seotud vahendajad ja ühistud, mis liigitatakse jakku G. Siia ei kuulu ka maastiku hooldus ja korrashoid (liigitatud klassi 8130).";"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Kaupmeeste Liit
Eesti Põllumajandus-Kaubanduskoda
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti";EI
011;01;Üheaastaste põllukultuuride kasvatus;Siia gruppi kuulub üheaastaste põllukultuuride kasvatamine. Üheaastased on taimed, mille eluiga ei ületa üht vegetatsiooniperioodi. Siia kuulub ka nende taimede kasvatamine seemnete tootmiseks.;;;;EI
0111;011;Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus;"Siia klassi kuulub teraviljade, kaunviljade ja õlikultuuride kasvatamine mistahes kujul. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil. Põllumajanduslikes majapidamistes on nende kultuuride kasvatamine sageli kombineeritud.
Siia klassi kuulub:
- teraviljakasvatus, sh:
 • nisu
 • mais
 • sorgo
 • oder
 • rukis
 • kaer
 • hirss
 • pseudoteraviljad, st puuviljad või seemned, mida kasutatakse nagu teravilju, sh:
 • kinoa
 • amarant
 • tšiia (õlisalvei)
- kaunviljade kasvatamine, sh:
 • oad
 • põldoad
 • kikerherned
 • silmoad
 • läätsed
 • lupiinid (hundioad)
 • herned
 • tuviherned
- õlikultuuride kasvatamine, sh:
 • sojaoad
 • maapähklid
 • riitsinus
 • linaseemned
 • sinepiseemned
 • õliramtilla
 • raps
 • saflooriseemned
 • seesamiseemned
 • päevalilleseemned";;"riisi kasvatamine, vt 0112
suhkrumaisi kasvatamine, vt 0113
maisi, lupiini või lehtkapsa kasvatamine söödaks, vt 0119
õliviljade kasvatamine, vt 0126";;JAH
01111;0111;Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus;"Siia klassi kuulub teraviljade, kaunviljade ja õlikultuuride kasvatamine mistahes kujul. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil. Põllumajanduslikes majapidamistes on nende kultuuride kasvatamine sageli kombineeritud.
Siia klassi kuulub:
- teraviljakasvatus, sh: nisu, mais, sorgo, oder, rukis, kaer, hirss; pseudoteraviljad, st puuviljad või seemned, mida kasutatakse nagu teravilju, sh: kinoa, amarant, tšiia (õlisalvei)
- kaunviljade kasvatamine, sh: oad, põldoad, kikerherned, silmoad, läätsed, lupiinid (hundioad), herned, tuviherned
- õlikultuuride kasvatamine, sh: sojaoad, maapähklid, riitsinus, linaseemned, sinepiseemned, õliramtilla, raps, saflooriseemned, seesamiseemned, päevalilleseemned";"rüpsi kasvatamine, õlikanepiseemnete kasvatamine
teravilja, kaunvilja, õliseemne idandite kasvatamine";"riisi kasvatamine, vt 01121
suhkrumaisi kasvatamine, vt 01131
maisi, lupiini või lehtkapsa kasvatamine söödaks, vt 01192
õliviljade kasvatamine, vt 01261";;JAH
0112;011;Riisikasvatus;"Siia klassi kuulub:
- riisi kasvatamine";;;;EI
01121;0112;Riisikasvatus;"Siia klassi kuulub:
- riisi kasvatamine";;;;EI
0113;011;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;"Siia klassi kuulub:
- leht- või varsköögiviljade kasvatamine, nt:
 • artišokid
 • spargel
 • kapsad
 • lillkapsas ja brokoli
 • salat ja sigur
 • spinat
- viliköögiviljade kasvatamine, nt:
 • kurgid
 • baklažaanid
 • tomatid
 • arbuusid
- juur-, sibul- või mugulköögiviljade kasvatamine, nt:
 • porgandid
 • naerid
 • küüslauk
 • sibulad (k.a šalottsibulad)
 • porrulauk vm laugud
- seente ja trühvlite kasvatamine
- juurviljaseemnete, k.a suhkrupeediseemnete kasvatamine (v.a muud peediseemned)
- suhkrupeedi kasvatamine
- tšilli ja paprika (Capsicum spp.) kasvatamine
- juurte ja mugulate kasvatamine, nt:
 • kartulid
 • maguskartulid ehk bataadid
 • maniokk
 • jamss
 • kaalikad ja peedid
Siia klassi kuulub ka:
- suhkrumaisi kasvatamine";;"vürtside, maitse- ja ravimtaimede kasvatamine, vt 0128
mütseeli kasvatamine, vt 0130";;JAH
01131;0113;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;"Siia klassi kuulub:
- leht- või varsköögiviljade kasvatamine, nt: artišokid, spargel, kapsad, lillkapsas, brokoli, salat, sigur, spinat 
- viliköögiviljade kasvatamine, nt: kurgid, baklažaanid, tomatid, arbuus, kantaluup-melon jm melonid jm viliköögiviljad
- juur-, sibul- või mugulköögiviljade kasvatamine, nt: porgandid, naerid, küüslauk, sibulad (k.a šalottsibulad), porrulauk vm laugud jm juur-, sibul- ja mugulköögiviljad
- seente ja trühvlite kasvatamine
- juur-ja köögiviljaseemnete, k.a suhkrupeediseemnete kasvatamine (v.a muud peediseemned)
- suhkrupeedi kasvatamine
- tšilli ja paprika (Capsicum spp.) kasvatamine
- juurte ja mugulate kasvatamine, nt: kartulid, maguskartulid ehk bataadid, maniokk, kaalikad ja peedid 
Siia klassi kuulub ka:
- suhkrumaisi kasvatamine";"köögivilja idandite kasvatamine
köögiviljaseemnete kasvatamine
magus paprika (salatipaprika) kasvatamine
muude leht- ja varsköögiviljade kasvatamine
rabarberi kasvatamine";"vürtside, maitse- ja ravimtaimede kasvatamine, vt 01281
mütseeli kasvatamine, vt 01301";;JAH
0114;011;Suhkrurookasvatus;;;suhkrupeedi kasvatamine, vt 0113;;EI
