Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
01;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;01;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;
01;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;10;Toiduainete tootmine;
01;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;20;Kemikaalide ja keemiatoodete tootmine;
011;Üheaastaste põllukultuuride kasvatus;011;Üheaastaste põllukultuuride kasvatus;
011;Üheaastaste põllukultuuride kasvatus;109;Valmis loomasööda tootmine;
0111;Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus;0111;Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus;
01111;"Teravilja- (v.a riis) ja kaunviljakasvatus; õlitaimeseemnete kasvatus";01111;Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus;
0112;Riisikasvatus;0112;Riisikasvatus;
01121;Riisikasvatus;01121;Riisikasvatus;
0113;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;0113;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;
01131;Köögivilja- (sh kõrvitsaliste), juurvilja- ja mugulviljakasvatus, k.a seenekasvatus;01131;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;
0114;Suhkrurookasvatus;0114;Suhkrurookasvatus;
01141;Suhkrurookasvatus (v.a suhkrupeet);01141;Suhkrurookasvatus;
0115;Tubakakasvatus;0115;Tubakakasvatus;
01151;Tubakakasvatus;01151;Tubakakasvatus;
0116;Kiutaimekasvatus;0116;Kiutaimekasvatus;
01161;Kiutaimekasvatus;01161;Kiutaimekasvatus;
0119;Muude põllukultuuride kasvatus;0113;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;
0119;Muude põllukultuuride kasvatus;0119;Muude üheaastaste põllukultuuride kasvatus;
0119;Muude põllukultuuride kasvatus;1091;Valmissööda tootmine loomakasvatusele;
01191;Lillekasvatus;01191;Lillekasvatus;
01199;Söödakultuuri- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus;01131;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;
01199;Söödakultuuri- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus;01192;Sööda- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus;
01199;Söödakultuuri- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus;10911;Valmissööda tootmine loomakasvatusele;
012;Mitmeaastaste taimede kasvatus;011;Üheaastaste põllukultuuride kasvatus;
012;Mitmeaastaste taimede kasvatus;012;Mitmeaastaste taimede kasvatus;
0121;Viinamarjakasvatus;0121;Viinamarjakasvatus;
01211;Viinamarjakasvatus;01211;Viinamarjakasvatus;
0122;Troopiliste ja subtroopiliste viljade kasvatus;0122;Troopiliste ja subtroopiliste viljade kasvatus;
01221;Troopiliste ja subtroopiliste viljade kasvatus;01221;Troopiliste ja subtroopiliste viljade kasvatus;
0123;Tsitruseliste kasvatus;0123;Tsitruseliste kasvatus;
01231;Tsitruseliste kasvatus;01231;Tsitruseliste kasvatus;
0124;Õun- ja luuviljaliste puuviljade kasvatus;0124;Õun- ja luuviljaliste puuviljade kasvatus;
01241;Õun- ja luuviljaliste puuviljade kasvatus;01241;Õun- ja luuviljaliste puuviljade kasvatus;
0125;Muu puuvilja-, marja- ning pähklikasvatus;0125;Muu puuvilja-, marja- ning pähklikasvatus;
01251;Muu puuvilja-, marja- ning pähklikasvatus;01251;Muu puuvilja-, marja- ning pähklikasvatus;
0126;Õlitaimekasvatus;0126;Õliviljade kasvatus;
01261;Õlitaimekasvatus;01261;Õliviljade kasvatus;
0127;Joogitaimekasvatus;0127;Joogitaimekasvatus;
01271;Joogitaimekasvatus;01271;Joogitaimekasvatus;
0128;Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus;0113;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;
